GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract Work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,31331,Textile and fabric finishing mills,2010,22931,4,788691,217144,4,89047,8829,14222,105045,18000,35227,501804,2594492,3,2134463,85597,133393,141332,9,1330136,99708,5,D,S,5114753,10,4874620,483727,240134,D,124206,D,2504240,19,515392,3,229544,5,96049,4,189800,5,514547,233537,106026,174985,107710,5,10477,97233,3875,5521,87837,134104,5,57598,6,50092,7506,440202,5,28335,1218,2839,3294,7019,34030,52815,19050,26654,18167,246780
0100000US,,United States,31331M,Textile and fabric finishing mills,2011,22723,5,797309,214219,4,90795,8149,15026,100249,17746,34615,508928,2744290,3,2285344,84321,141168,133733,7,1299043,99724,6,D,S,5329349,12,5102024,489717,227324,106686,111787,8852,2627751,23,571882,3,256438,6,115316,5,200128,7,516391,228782,98228,189380,104473,9,18718,85755,4036,5724,75995,114684,7,54788,7,46115,8673,435864,5,21193,1717,2096,5765,6962,39942,42578,18531,31703,20407,244971
0100000US,,United States,31331M,Textile and fabric finishing mills,2010,22931,4,788691,217144,4,89047,8829,14222,105045,18000,35227,501804,2594492,3,2134463,85597,133393,141332,9,1330136,99708,5,D,S,5114753,10,4874620,483727,240134,D,124206,D,2504240,19,515392,3,229544,5,96049,4,189800,5,514547,233537,106026,174985,107710,5,10477,97233,3875,5521,87837,134104,5,57598,6,50092,7506,440202,5,28335,1218,2839,3294,7019,34030,52815,19050,26654,18167,246780
0100000US,,United States,31332,Fabric coating mills,2011,7044,3,361613,102276,2,45467,5348,6534,44927,4945,9950,196694,1613504,2,1427413,115924,22890,22005,7,273371,25271,2,S,S,2587756,3,2415366,35290,172390,157933,S,9320,995901,3,373564,2,181463,4,43083,5,149019,3,336707,156272,42297,138138,45810,5,4035,41775,805,2622,38348,59741,4,28933,4,23964,4969,144255,7,16756,1517,1191,1795,4249,26165,7546,2134,19820,9453,53630
0100000US,,United States,31332,Fabric coating mills,2010,6781,3,334942,99428,2,41487,5598,5923,46420,4811,9710,185974,1532210,2,1348897,109281,26678,22167,7,269761,25188,3,S,S,2405275,3,2249217,35872,156057,D,S,D,914455,4,338105,2,156641,4,41848,5,139616,3,278316,117526,35243,125547,44048,5,2971,41077,1070,3276,36731,54706,4,28403,5,23933,4470,136885,7,10195,1292,431,1898,4117,21109,7023,2372,18494,10522,59433
0100000US,,United States,313320,Fabric coating mills,2011,7044,3,361613,102276,2,45467,5348,6534,44927,4945,9950,196694,1613504,2,1427413,115924,22890,22005,7,273371,25271,2,S,S,2587756,3,2415366,35290,172390,157933,S,9320,995901,3,373564,2,181463,4,43083,5,149019,3,336707,156272,42297,138138,45810,5,4035,41775,805,2622,38348,59741,4,28933,4,23964,4969,144255,7,16756,1517,1191,1795,4249,26165,7546,2134,19820,9453,53630
0100000US,,United States,313320,Fabric coating mills,2010,6781,3,334942,99428,2,41487,5598,5923,46420,4811,9710,185974,1532210,2,1348897,109281,26678,22167,7,269761,25188,3,S,S,2405275,3,2249217,35872,156057,D,S,D,914455,4,338105,2,156641,4,41848,5,139616,3,278316,117526,35243,125547,44048,5,2971,41077,1070,3276,36731,54706,4,28403,5,23933,4470,136885,7,10195,1292,431,1898,4117,21109,7023,2372,18494,10522,59433
0100000US,,United States,314,Textile product mills,2011,106836,2,3543784,957087,2,423059,36121,57267,440639,82513,156301,2226527,12574892,1,11135005,801736,301570,102787,3,3254724,233794,2,D,S,22080684,1,20741202,4267861,1339482,D,D,D,9686982,2,2963613,1,1388273,2,434373,3,1140968,2,2907459,1227392,419602,1260465,505762,3,34491,471272,22297,32713,416262,381145,2,304615,6,264856,39759,1619888,3,136248,8725,9017,14995,29144,101093,61086,81702,80108,85886,1011883
0100000US,,United States,314,Textile product mills,2010,108841,2,3518513,980187,2,409644,42265,58548,469730,84317,160994,2199424,12176876,1,10760503,784137,308589,111281,3,3081493,212366,2,D,S,20968906,1,19684645,3751101,1284261,D,D,D,9037837,2,2929422,1,1239828,2,421221,2,1268373,2,2557775,1008855,411927,1136993,403855,3,42681,361175,23119,34121,303935,377100,2,294419,6,259648,34771,1477656,4,98226,8960,9757,14945,35705,106081,63816,56809,73454,84071,925831
0100000US,,United States,3141,Textile furnishings mills,2011,54605,2,1702257,487985,2,227893,17235,27109,215747,43440,83716,1120477,7589012,1,6951935,257199,194673,66004,4,1653438,119201,3,D,S,12529892,1,12097987,D,431905,D,D,D,5044263,2,1621425,1,779280,2,261605,2,580540,2,1673957,705949,247494,720514,245273,2,15186,230087,7047,13106,209933,202304,3,117759,3,101847,15911,707642,5,69453,4476,5523,7146,12489,57103,43719,16715,34055,48507,408456
